"filename", "language", "Java", "JSON", "comment", "blank", "total"
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/Test.class", "Java", 7, 0, 0, 0, 7
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/Test.java", "Java", 5, 0, 0, 1, 6
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/TestVannGenerasjon.java", "Java", 84, 0, 0, 21, 105
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/Tile.java", "Java", 24, 0, 6, 24, 54
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/Tiles/TileCreationRun.java", "Java", 27, 0, 0, 11, 38
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/Tiles/TileFactory.java", "Java", 93, 0, 62, 50, 205
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/Tiles/TileManager.java", "Java", 186, 0, 17, 108, 311
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/BaseEntity.java", "Java", 124, 0, 21, 59, 204
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/BaseEntityCollection.java", "Java", 11, 0, 2, 16, 29
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/BaseEntityHandler.java", "Java", 11, 0, 0, 10, 21
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/Entity.java", "Java", 12, 0, 4, 9, 25
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/HitBox.java", "Java", 62, 0, 19, 44, 125
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/Playable.java", "Java", 8, 0, 1, 5, 14
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/SpriteHandler.java", "Java", 19, 0, 11, 18, 48
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/SpriteHandlerEntities.java", "Java", 8, 0, 1, 6, 15
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/gameObjects/GameObject.java", "Java", 20, 0, 1, 22, 43
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/gameObjects/Item.java", "Java", 53, 0, 3, 17, 73
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/gameObjects/SpriteHandlerObjects.java", "Java", 9, 0, 1, 4, 14
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/inventory/Inventory.java", "Java", 49, 0, 15, 14, 78
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/inventory/PlayerInventory.java", "Java", 4, 0, 0, 5, 9
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/inventory/StorageInventory.java", "Java", 3, 0, 0, 3, 6
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/primitiveEntity.java", "Java", 10, 0, 2, 5, 17
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/sprite/Sprite.java", "Java", 39, 0, 7, 23, 69
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/sprite/TileSprite.java", "Java", 40, 0, 7, 22, 69
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/tile/SpriteHandlerTiles.java", "Java", 11, 0, 1, 7, 19
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/tile/Tile.java", "Java", 179, 0, 18, 79, 276
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/tile/TileFactory.java", "Java", 112, 0, 12, 46, 170
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/tile/TileManager.java", "Java", 42, 0, 7, 28, 77
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/Chunk.java", "Java", 152, 0, 47, 70, 269
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/ChunkSystem.java", "Java", 208, 0, 80, 116, 404
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/DataBase.java", "Java", 27, 0, 8, 5, 40
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/Loader.java", "Java", 8, 0, 0, 12, 20
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/OutOfChunkBounds.java", "Java", 6, 0, 0, 2, 8
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/TreeNode.java", "Java", 124, 0, 9, 64, 197
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/WorkingMemory.java", "Java", 104, 0, 42, 40, 186
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/terrainGeneration/Biome.java", "Java", 27, 0, 11, 19, 57
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/terrainGeneration/GeoLocation.java", "Java", 5, 0, 0, 2, 7
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/terrainGeneration/LinkedAttributesComponent.java", "Java", 39, 0, 4, 13, 56
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/terrainGeneration/OpenSimplex2S.java", "Java", 942, 0, 123, 82, 1147
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/terrainGeneration/ProceduralGeneration.java", "Java", 305, 0, 110, 159, 574
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/terrainGeneration/SliderEx.java", "Java", 59, 0, 1, 14, 74
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/terrainGeneration/TerrainGenerationView.java", "Java", 437, 0, 19, 210, 666
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/drawing/Camera.java", "Java", 109, 0, 16, 42, 167
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/drawing/DrawingManager.java", "Java", 48, 0, 4, 30, 82
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/entity/Entity.java", "Java", 124, 0, 13, 50, 187
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/entity/EntityHandler.java", "Java", 28, 0, 3, 20, 51
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/entity/EntityInventory.java", "Java", 3, 0, 0, 3, 6
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/entity/NPC/NPC.java", "Java", 154, 0, 10, 58, 222
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/entity/NPC/NPC1.java", "Java", 15, 0, 2, 8, 25
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/entity/NPC/NPC2.java", "Java", 12, 0, 0, 8, 20
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/entity/spiller/Spiller.java", "Java", 203, 0, 41, 108, 352
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/entityFactory/EntityFactory.java", "Java", 13, 0, 4, 8, 25
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/enviroment/EnviromentManager.java", "Java", 94, 0, 7, 28, 129
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/enviroment/LightingFilter.java", "Java", 63, 0, 8, 32, 103
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/enviroment/Lightning.java", "Java", 50, 0, 6, 36, 92
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/itemBar/ItemBar.java", "Java", 68, 0, 0, 22, 90
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/CollisionChecker.java", "Java", 119, 0, 1, 34, 154
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GUIMenu/BaseComponent.java", "Java", 68, 0, 1, 24, 93
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GUIMenu/BaseMenu.java", "Java", 44, 0, 0, 19, 63
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GUIMenu/Button.java", "Java", 39, 0, 3, 13, 55
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GUIMenu/Component.java", "Java", 34, 0, 2, 25, 61
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GUIMenu/Container.java", "Java", 101, 0, 13, 57, 171
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GUIMenu/ItemBar.java", "Java", 26, 0, 1, 15, 42
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GUIMenu/ItemContainer.java", "Java", 46, 0, 4, 20, 70
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GUIMenu/ItemContainerSlot.java", "Java", 49, 0, 1, 23, 73
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GUIMenu/Label.java", "Java", 24, 0, 0, 11, 35
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GUIMenu/MenuPanel.java", "Java", 61, 0, 2, 34, 97
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GUIMenu/MenuState.java", "Java", 51, 0, 0, 15, 66
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GUIMenu/ScreenState.java", "Java", 70, 0, 5, 38, 113
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GamePanel.java", "Java", 169, 0, 21, 81, 271
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/ImageContainer.java", "Java", 118, 0, 17, 51, 186
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/ImageResources.java", "Java", 26, 0, 1, 12, 39
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/KeyHandler.java", "Java", 81, 0, 3, 43, 127
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/Main.java", "Java", 17, 0, 6, 15, 38
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/MapHandler.java", "Java", 61, 0, 8, 34, 103
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/MouseHandler.java", "Java", 94, 0, 3, 48, 145
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/SpriteFactory.java", "Java", 57, 0, 9, 23, 89
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/TestGenerasjon/Program.java", "Java", 296, 0, 35, 123, 454
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/UI.java", "Java", 296, 0, 29, 100, 425
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/interactions/Interaction.java", "Java", 17, 0, 0, 13, 30
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/interactions/InventoryInteraction.java", "Java", 50, 0, 11, 15, 76
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/interactions/MenuInteraction.java", "Java", 47, 0, 10, 29, 86
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/interactions/OptionInteraction.java", "Java", 50, 0, 11, 15, 76
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/interactions/PlayInteractionManager.java", "Java", 382, 0, 71, 149, 602
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/Items.java", "Java", 88, 0, 1, 32, 121
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/Materials.java", "Java", 69, 0, 1, 21, 91
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/Meny.java", "Java", 48, 0, 2, 20, 70
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/Resources.java", "Java", 87, 0, 2, 30, 119
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/Slot.java", "Java", 13, 0, 0, 8, 21
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/SlotCategories.java", "Java", 17, 0, 0, 15, 32
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/SlotSubCategories.java", "Java", 11, 0, 0, 10, 21
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/Item.java", "Java", 105, 0, 5, 41, 151
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Axe.java", "Java", 21, 0, 0, 10, 31
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Bike.java", "Java", 20, 0, 0, 14, 34
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Boat.java", "Java", 20, 0, 1, 10, 31
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Equipment.java", "Java", 24, 0, 0, 8, 32
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Hammer.java", "Java", 21, 0, 0, 9, 30
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Hoe.java", "Java", 17, 0, 0, 8, 25
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Shovel.java", "Java", 21, 0, 1, 9, 31
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/materials/BFence.java", "Java", 11, 0, 2, 14, 27
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/materials/Material.java", "Java", 24, 0, 1, 14, 39
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/resources/Dirt.java", "Java", 20, 0, 3, 6, 29
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/resources/FireFruit.java", "Java", 7, 0, 0, 7, 14
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/resources/FireSeed.java", "Java", 14, 0, 0, 8, 22
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/resources/Resource.java", "Java", 27, 0, 1, 13, 41
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/resources/Wood.java", "Java", 8, 0, 1, 5, 14
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Ageable.java", "Java", 4, 0, 0, 2, 6
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Breakable.java", "Java", 22, 0, 2, 10, 34
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/CaveOpening.java", "Java", 12, 0, 0, 5, 17
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Changeable.java", "Java", 4, 0, 0, 3, 7
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Chest.java", "Java", 18, 0, 0, 11, 29
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Cliff.java", "Java", 9, 0, 1, 4, 14
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Dirt.java", "Java", 21, 0, 0, 10, 31
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/DungeonCave.java", "Java", 28, 0, 0, 8, 36
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Farmable.java", "Java", 61, 0, 1, 22, 84
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/FirePlant.java", "Java", 8, 0, 0, 5, 13
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/GameObjectFactory.java", "Java", 94, 0, 6, 46, 146
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/GhostObj.java", "Java", 53, 0, 0, 19, 72
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/InteractableObj.java", "Java", 8, 0, 0, 5, 13
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/LadderBack.java", "Java", 15, 0, 0, 9, 24
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Material.java", "Java", 68, 0, 1, 39, 108
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/NonCollisionInteraction.java", "Java", 11, 0, 0, 8, 19
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/NonCollisionNonInteraction.java", "Java", 8, 0, 0, 6, 14
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/NonInteractableObj.java", "Java", 8, 0, 0, 5, 13
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/ObjectManager.java", "Java", 364, 0, 32, 176, 572
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Stone.java", "Java", 23, 0, 0, 12, 35
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/SuperObject.java", "Java", 115, 0, 9, 65, 189
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Teleport.java", "Java", 32, 0, 6, 18, 56
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Vegetation.java", "Java", 7, 0, 0, 6, 13
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/WoodYield.java", "Java", 25, 0, 0, 9, 34
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/objects/Yieldable.java", "Java", 26, 0, 4, 14, 44
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/sprites/SpriteLoader.java", "Java", 75, 0, 27, 43, 145
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/tileSpriteGenerator/ImagePainter.java", "Java", 254, 0, 8, 94, 356
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/worldGeneration/BiomeFactory.java", "Java", 53, 0, 5, 16, 74
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/worldGeneration/OpenSimplex2S.java", "Java", 942, 0, 123, 82, 1147
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/worldGeneration/TerrainGenSimplex.java", "Java", 531, 0, 101, 237, 869
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/worldGeneration/dungeonGenerator/Cell.java", "Java", 73, 0, 1, 21, 95
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/worldGeneration/dungeonGenerator/Dungeon.java", "Java", 200, 0, 3, 72, 275
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/worldGeneration/dungeonGenerator/DungeonManager.java", "Java", 20, 0, 1, 11, 32
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/worldGeneration/dungeonGenerator/MainDungeon.java", "Java", 15, 0, 1, 13, 29
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/worldGeneration/dungeonGenerator/Pathfinder.java", "Java", 5, 0, 0, 4, 9
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/worldGeneration/dungeonGenerator/Room.java", "Java", 157, 0, 13, 33, 203
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/test.json", "JSON", 0, 3, 0, 4, 7
"Total", "-", 11234, 3, 1420, 4456, 17113