"filename", "language", "Java", "comment", "blank", "total"
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/Test.java", "Java", -5, 0, -1, -6
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/BaseEntity.java", "Java", 9, -1, 1, 9
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/Entity.java", "Java", 3, 0, 3, 6
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/GameObject.java", "Java", 28, 3, 13, 44
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/HitBox.java", "Java", 9, 3, 10, 22
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/Playable.java", "Java", -8, -1, -5, -14
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/Vector.java", "Java", 76, 3, 27, 106
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/gameObjects/GameObject.java", "Java", -20, -1, -22, -43
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/playable/Playable.java", "Java", 124, 11, 73, 208
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/tile/Tile.java", "Java", 21, 2, 6, 29
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/ArayList.java", "Java", 3, 0, 3, 6
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/Chunk.java", "Java", 25, 4, 9, 38
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/ChunkSystem.java", "Java", 5, 1, 6, 12
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/WorkingMemory.java", "Java", 146, 16, 38, 200
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/terrainGeneration/Biome.java", "Java", 3, 0, 6, 9
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/terrainGeneration/EntityFactory.java", "Java", 35, 3, 21, 59
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/terrainGeneration/GenerationInterface.java", "Java", 39, 0, 28, 67
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/chunkSystem/terrainGeneration/ProceduralGeneration.java", "Java", 42, 19, 16, 77
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/drawing/Camera.java", "Java", 94, 10, 51, 155
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/enviroment/EnviromentManager.java", "Java", -1, 0, 1, 0
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/GamePanel.java", "Java", 31, 5, 6, 42
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/ImageContainer.java", "Java", 47, 1, 20, 68
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/InputHandlingSystem.java", "Java", 36, 1, 15, 52
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/Keys.java", "Java", 45, 2, 18, 65
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/Main.java", "Java", -1, 1, 0, 0
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/Mouse.java", "Java", 42, 5, 24, 71
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/SpriteFactory.java", "Java", -57, -9, -23, -89
"Total", "-", 771, 78, 344, 1193